# IMU Recording (MPU6050) - Movement Chain
# Start time: 2026-01-12T17:15:27.444972
# Sample rate: 100 Hz
# Port: COM3
#
timestamp,AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
2026-01-12 17:15:31.516,-3228,-16248,4544,1810,-1195,952,1289
2026-01-12 17:15:31.528,-2808,-16884,4460,1934,-1328,1129,1293
2026-01-12 17:15:31.541,-3448,-16692,5364,2019,-1422,1129,1300
2026-01-12 17:15:31.553,-3072,-16772,5128,2015,-1718,1050,1300
2026-01-12 17:15:31.569,-2912,-16936,5204,2057,-1910,1082,1291
2026-01-12 17:15:31.581,-3072,-16996,5264,2145,-2069,1133,1299
2026-01-12 17:15:31.594,-2672,-17428,5132,2303,-2181,1131,1301
2026-01-12 17:15:31.606,-2836,-17476,5480,2513,-2199,1163,1296
2026-01-12 17:15:31.622,-3164,-17412,5912,2662,-2340,1187,1298
2026-01-12 17:15:31.635,-3136,-17256,6136,2694,-2598,1161,1307
2026-01-12 17:15:31.647,-2660,-17864,6248,2769,-2814,1146,1303
2026-01-12 17:15:31.659,-2688,-17712,6372,2954,-2856,1109,1303
2026-01-12 17:15:31.675,-2716,-17796,6744,3179,-2881,1133,1294
2026-01-12 17:15:31.688,-3052,-18020,6988,3414,-2973,1162,1295
2026-01-12 17:15:31.701,-3364,-17552,7200,3572,-3139,1198,1296
2026-01-12 17:15:31.713,-3308,-17644,7488,3655,-3315,1159,1296
2026-01-12 17:15:31.729,-2960,-18076,7660,3753,-3488,1166,1292
2026-01-12 17:15:31.741,-2820,-18216,7724,3892,-3587,1104,1297
2026-01-12 17:15:31.754,-3176,-18308,8344,4091,-3612,1050,1299
2026-01-12 17:15:31.766,-2992,-18444,8748,4374,-3627,1047,1303
2026-01-12 17:15:31.782,-3656,-16688,8736,4516,-3715,1024,1297
2026-01-12 17:15:31.794,-3916,-17368,10268,4681,-3917,1011,1288
2026-01-12 17:15:31.807,-3268,-17544,9304,4699,-4466,1088,1291
2026-01-12 17:15:31.819,-3044,-19252,9604,4799,-4479,1051,1295
2026-01-12 17:15:31.835,-2068,-18128,9164,5132,-4344,750,1295
